,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Date
0,hermanus,-34.42,19.23,73.99,66,28,ZA,1.99,1605948168
1,new norfolk,6.65,-10.59,80.6,88,75,LR,2.1,1605948168
2,mataura,-46.19,168.86,48.99,85,100,NZ,13.0,1605948168
3,noumea,-22.28,166.46,73.4,69,75,NC,14.99,1605948146
4,cabo san lucas,-8.28,-35.03,77.0,73,40,BR,5.82,1605947905
5,de-kastri,51.47,140.78,26.46,81,100,RU,5.06,1605948169
6,ancud,-41.87,-73.82,54.0,100,90,CL,14.99,1605948169
7,merauke,-8.47,140.33,84.74,72,100,ID,18.39,1605948169
8,kyzyl-suu,42.34,78.01,33.39,82,9,KG,2.04,1605948170
9,nikolskoye,59.7,30.79,34.0,87,75,RU,4.47,1605948170
10,belmonte,-15.86,-38.88,71.6,88,90,BR,4.7,1605948170
11,sarangani,5.4,125.46,84.33,73,62,PH,10.16,1605948170
12,butaritari,3.07,172.79,82.44,79,100,KI,15.73,1605948170
13,itacare,-14.28,-39.0,75.52,93,100,BR,6.89,1605948171
14,thompson,55.74,-97.86,3.2,91,90,CA,2.24,1605948171
15,hobart,-42.88,147.33,63.0,59,75,AU,10.29,1605947894
16,khorixas,-20.37,14.97,87.55,12,0,NA,2.55,1605948171
17,kasangulu,-4.59,15.17,78.8,83,75,CD,4.7,1605948172
18,faanui,-16.48,-151.75,79.61,73,31,PF,7.29,1605948172
19,porto walter,41.15,-8.61,57.0,43,0,PT,11.41,1605948072
20,uvira,-3.41,29.15,82.38,54,7,CD,1.9,1605948172
21,netivot,31.42,34.59,64.99,56,15,IL,4.0,1605948172
22,ushuaia,-54.8,-68.3,50.0,66,90,AR,14.99,1605948005
23,kahului,20.89,-156.47,75.2,83,20,US,20.8,1605948173
24,esperance,-33.87,121.9,64.4,59,45,AU,17.22,1605948173
25,nuevo progreso,33.8,-117.15,52.0,66,1,US,3.36,1605948173
26,rikitea,-23.12,-134.97,72.43,65,100,PF,7.58,1605948173
27,port alfred,-7.03,29.76,79.81,64,27,CD,4.32,1605948174
28,san carlos de bariloche,13.3,-4.9,81.99,19,0,ML,8.84,1605948055
29,semey,50.41,80.23,8.6,78,0,KZ,4.47,1605948174
30,vaini,-21.2,-175.2,75.2,83,75,TO,5.82,1605948174
31,arraial do cabo,-22.84,-46.65,64.0,87,0,BR,6.93,1605948174
32,lagos,6.58,3.75,83.48,72,92,NG,2.53,1605948071
33,jerantut,3.94,102.36,82.81,80,100,MY,1.41,1605948175
34,teluknaga,-6.1,106.64,89.6,62,40,ID,10.29,1605948175
35,busselton,-33.65,115.33,73.99,44,0,AU,14.41,1605948176
36,hithadhoo,-0.6,73.08,82.51,75,24,MV,10.22,1605948176
37,biak,-0.91,122.88,82.72,74,92,ID,2.28,1605948176
38,aswan,24.09,32.91,74.48,30,27,EG,10.6,1605948176
39,victoria,22.29,114.16,75.99,83,61,HK,3.0,1605948109
40,albany,42.6,-73.97,45.0,66,81,US,4.83,1605948078
41,lebu,-37.62,-73.65,51.19,88,77,CL,11.36,1605948177
42,djibo,14.1,-1.63,81.86,16,1,BF,11.39,1605947892
43,bethel,41.37,-73.41,46.99,86,1,US,5.19,1605948108
44,puerto ayora,36.59,-6.23,51.8,87,0,ES,6.93,1605948178
45,veselynove,47.36,31.23,33.8,86,40,UA,8.95,1605948178
46,torbay,47.67,-52.73,42.01,93,40,CA,12.75,1605948178
47,aden,12.78,45.04,80.91,64,25,YE,10.87,1605948154
48,longyearbyen,78.22,15.64,19.4,73,75,SJ,2.24,1605948178
49,port hawkesbury,-7.03,29.76,79.81,64,27,CD,4.32,1605948179
50,camacha,33.08,-16.33,64.4,82,20,PT,3.36,1605948179
51,vardo,70.37,31.11,33.31,88,16,NO,13.51,1605948179
52,svarstad,59.4,9.97,50.0,93,100,NO,5.01,1605948179
53,ribeira grande,42.75,-8.44,46.4,81,0,ES,3.36,1605948179
54,virginia beach,37.55,-77.45,46.0,93,1,US,5.82,1605948180
55,lorengau,-2.02,147.27,81.41,77,100,PG,1.63,1605948180
56,port blair,-7.03,29.76,79.81,64,27,CD,4.32,1605948179
57,ambilobe,-13.2,49.05,87.06,61,74,MG,8.86,1605948180
58,mys shmidta,62.06,48.62,33.46,90,97,RU,10.89,1605948180
59,cape town,-36.41,-71.9,50.0,100,4,CL,4.7,1605948181
60,krasnoselkup,65.7,82.47,29.89,97,100,RU,27.18,1605948181
61,dikson,73.51,80.55,11.62,96,56,RU,14.99,1605948181
62,sioux lookout,42.73,-96.23,30.0,100,1,US,4.83,1605948181
63,hilo,19.73,-155.09,73.4,88,1,US,6.93,1605948147
64,aklavik,68.22,-135.01,14.0,92,0,CA,1.12,1605948182
65,blagoyevo,63.37,47.92,32.36,93,100,RU,11.41,1605948182
66,iquique,-20.22,-70.14,57.2,82,0,CL,5.21,1605948182
67,jamestown,42.1,-79.24,44.01,87,90,US,10.29,1605948182
68,constitucion,-35.33,-72.42,50.05,78,0,CL,4.21,1605948183
69,bredasdorp,-34.53,20.04,73.4,60,2,ZA,11.41,1605948183
70,punta arenas,8.99,125.34,82.02,78,100,PH,1.83,1605948183
71,melfi,41.0,15.65,48.2,93,90,IT,20.8,1605948183
72,saskylakh,71.92,114.08,-2.43,89,73,RU,15.57,1605948184
73,alice springs,27.75,-98.07,68.0,93,90,US,4.7,1605948184
74,kapaa,22.08,-159.32,78.8,83,75,US,17.22,1605948184
75,emba,48.83,58.14,24.58,86,0,KZ,5.46,1605948184
76,atasu,48.68,71.64,14.13,93,0,KZ,8.39,1605948184
77,muros,42.78,-9.06,57.99,81,0,ES,3.36,1605948185
78,aykhal,66.0,111.5,5.0,84,90,RU,8.95,1605948185
79,yar-sale,66.83,70.83,29.91,94,34,RU,27.04,1605948185
80,arlit,18.74,7.39,72.97,21,0,NE,2.77,1605948185
81,isangel,-19.55,169.27,74.35,76,88,VU,15.3,1605948186
82,olinda,-8.01,-34.86,77.0,73,40,BR,5.82,1605948186
83,khatanga,71.97,102.5,8.08,95,94,RU,11.36,1605948186
84,bluff,-46.6,168.33,48.99,85,100,NZ,13.0,1605948186
85,mount gambier,53.66,-1.85,52.0,87,40,GB,10.0,1605948186
86,suhbaatar,50.23,106.21,14.38,87,0,MN,5.77,1605948187
87,ola,59.58,151.28,5.14,84,78,RU,10.4,1605948187
88,san quintin,13.3,-4.9,81.99,19,0,ML,8.84,1605948055
89,vila franca do campo,42.03,-8.16,57.99,87,0,PT,6.93,1605948187
90,norman wells,35.22,-97.44,64.4,82,90,US,3.36,1605948188
91,severo-kurilsk,50.68,156.12,32.63,90,79,RU,18.59,1605948188
92,manokwari,-0.87,134.08,81.46,74,100,ID,0.83,1605948188
93,hasaki,35.73,140.83,59.0,44,20,JP,4.7,1605948188
94,mengcheng,33.26,116.57,43.74,86,100,CN,11.05,1605947956
95,kaitangata,-46.28,169.85,48.0,78,100,NZ,15.01,1605948189
96,saint-philippe,-21.36,55.77,80.6,57,0,RE,16.11,1605948189
97,marsa matruh,35.88,14.5,59.0,87,20,MT,3.36,1605948189
98,lata,40.16,-8.33,46.99,75,0,PT,3.0,1605948189
99,illela,13.73,5.3,80.78,17,0,NG,16.11,1605948189
100,barabinsk,55.36,78.36,19.58,95,87,RU,14.12,1605948190
101,abu dhabi,24.6,72.7,70.45,22,0,IN,6.73,1605948190
102,tuktoyaktuk,69.45,-133.04,2.43,94,60,CA,6.2,1605948190
103,rio grande,38.3,21.78,59.0,51,75,GR,11.41,1605948190
104,yellowknife,62.46,-114.35,-2.99,83,75,CA,5.82,1605948190
105,barrow,71.29,-156.79,10.4,85,90,US,10.29,1605947998
106,atuona,-9.8,-139.03,77.11,79,5,PF,15.86,1605948191
107,sao filipe,20.51,76.21,83.25,42,59,IN,4.65,1605948191
108,tuatapere,-46.13,167.68,48.99,85,98,NZ,13.0,1605948191
109,emmett,43.87,-116.5,27.0,78,0,US,4.41,1605948191
110,whitehorse,60.72,-135.05,3.0,84,90,CA,10.29,1605948192
111,koumac,-20.57,164.28,75.52,75,41,NC,13.27,1605948192
112,acapulco,16.86,-99.89,78.87,73,94,MX,3.2,1605948192
113,alvaraes,-3.22,-64.8,71.71,98,86,BR,1.72,1605948192
